Titles,math.AG,math.NT
On the generalized Carlitz module,0.0,1.0
A generating function of the squares of Legendre polynomials,0.0,1.0
"Moduli Spaces of $\alpha$-stable Pairs and Wall-Crossing on
  $\mathbb{P}^2$",1.0,0.0
A Nullstellensatz for \L ojasiewicz ideals,1.0,0.0
Borcherds Products on Unitary Groups,0.0,1.0
The defect of generalized Fourier matrices,1.0,0.0
Lectures on Noncommutative Resolutions,1.0,0.0
An explicit computation of p-stabilized vectors,0.0,1.0
Newton polygons for a variant of the Kloosterman family,0.0,1.0
Singularities on the base of a Fano type fibration,1.0,0.0
Lectures on birational geometry,1.0,0.0
"Frenkel-Gross' irregular connection and Heinloth-Ng\^{o}-Yun's are the
  same",1.0,0.0
Milnor numbers of projective hypersurfaces with isolated singularities,1.0,0.0
Newton polytopes and witness sets,1.0,0.0
Refined Chern-Simons Theory and Topological String,1.0,0.0
"A p-adic analogue of the conjecture of Birch and Swinnerton-Dyer for
  modular abelian varieties",1.0,1.0
Character sums determined by low degree isogenies of elliptic curves,0.0,1.0
Invariants for A4 fields and the Cohen-Lenstra heuristics,0.0,1.0
Spaces of morphisms from a projective space to a toric variety,1.0,0.0
Quantum black holes in Type-IIA String Theory,1.0,0.0
Proper local complete intersection morphisms preserve perfect complexes,1.0,0.0
"The right classification of univariate power series in positive
  characteristic",1.0,0.0
"Sur les repr\'esentations absolument na\""ives et leur module de Wach",0.0,1.0
On the Schmidt Subspace Theorem,0.0,1.0
Irreducibles in the Integers modulo n,0.0,1.0
Functional analysis on two-dimensional local fields,1.0,1.0
The filled Julia set of a Drinfeld module and uniform bounds for torsion,0.0,1.0
Betti Tables of Reducible Algebraic Curves,1.0,0.0
Rademacher Sums and Rademacher Series,0.0,1.0
"The explicit upper bound of the multiple integral of $S(t)$ on the
  Riemann Hypothesis",0.0,1.0
The Witt Ring of a Smooth Projective Curve over a Finite Field,1.0,0.0
"La construction d'Abbes et Saito pour les connexions m\'eromorphes:
  aspect formel en dimension 1",1.0,0.0
"Covers of Elliptic Curves with Unique, Totally Ramified Branch Points",1.0,0.0
Bounding the $j$-invariant of integral points on certain modular curves,0.0,1.0
Calabi-Yau conifold expansions,1.0,0.0
Pull-back Morphisms for Reflexive Differential Forms,1.0,0.0
"A new realization of the Langlands correspondence for PGL(2,F)",0.0,1.0
The Tate-Voloch Conjecture in a Power of a Modular Curve,0.0,1.0
"Weyl Group Multiple Dirichlet Series for Symmetrizable Kac-Moody Root
  Systems",0.0,1.0
J-holomorphic curves in a nef class,1.0,0.0
Exceptional collections of line bundles on the Beauville surface,1.0,0.0
"Distribution of squarefree values of sequences associated with elliptic
  curves",0.0,1.0
Finite field elements of high order arising from modular curves,0.0,1.0
"Functions on Okounkov bodies coming from geometric valuations (with an
  appendix by S\'ebastien Boucksom)",1.0,0.0
"Standard models of abstract intersection theory for operators in Hilbert
  space",1.0,1.0
A twisted theorem of Chebotarev,1.0,0.0
Deformation of $F$-injectivity and local cohomology,1.0,0.0
Evidence of Long Range Order in the Riemann Zeta Function,0.0,1.0
A geometric Schur functor,1.0,0.0
Groupe de Brauer non ramifi\'e d'espaces homog\`enes de tores,1.0,0.0
Tits alternative for automorphism groups of compact Kaehler manifolds,1.0,0.0
"On representations of positive integers by $(a+c)^{1/3}x + (b+d)y$,
  $(a+c)x + \bigl(k(b+d) \bigr)^{1/3} y$, and $\bigl(k(a+c) \bigr)^{1/3} x +
  l(b+d) y$",0.0,1.0
On the locus of non-rigid hypersurfaces,1.0,0.0
Computing N\'eron-Severi groups and cycle class groups,1.0,1.0
Superstrong approximation for monodromy groups,0.0,1.0
Unramified two-dimensional Langlands correspondence,1.0,1.0
Eichler integrals and harmonic weak Maass forms,0.0,1.0
"Commuting involutions of Lie algebras, commuting varieties, and simple
  Jordan algebras",1.0,0.0
Arrangements and Frobenius like structures,1.0,0.0
"First occurrences of square-free gaps and an algorithm for their
  computation",0.0,1.0
Hilbert series of certain jet schemes of determinantal varieties,1.0,0.0
"A generalization of the Barban-Davenport-Halberstam Theorem to number
  fields",0.0,1.0
A Barban-Davenport-Halberstam asymptotic for number fields,0.0,1.0
Group structures of elliptic curves over finite fields,0.0,1.0
A doubling integral for G2,0.0,1.0
Categorification of Donaldson-Thomas invariants by Perverse Sheaves,1.0,0.0
Fragmented deformations of primitive multiple curves,1.0,0.0
Bloch's conjecture for Catanese and Barlow surfaces,1.0,0.0
Some remarks on limit mixed Hodge structure and spectrum,1.0,0.0
"On the Cartier Duality of Certain Finite Group Schemes of order $p^n$,
  II",1.0,0.0
"Remark on equicharacteristic analogue of Hesselholt's conjecture on
  cohomology of Witt vectors",0.0,1.0
A reverse isoperimetric inequality for J-holomorphic curves,1.0,0.0
A structure theorem for unions of complete intersections,1.0,0.0
Density of Ch\^atelet surfaces failing the Hasse principle,1.0,1.0
"On codimension 1 del Pezzo foliations on varieties with mild
  singularities",1.0,0.0
"The open Gromov-Witten-Welschinger theory of blowups of the projective
  plane",1.0,0.0
"Transfer operator for the Gauss' continued fraction map. I. Structure of
  the eigenvalues and trace formulas",0.0,1.0
On the largest prime factor of the $k-$Fibonacci numbers,0.0,1.0
Newly reducible iterates in families of quadratic polynomials,0.0,1.0
"Towards the Brauer-Manin obstruction on varieties fibred over the
  projective line",1.0,1.0
Irreducible symplectic complex spaces,1.0,0.0
"An introduction to the theory of Higher rank stable pairs and Virtual
  localization",1.0,0.0
A note on the reinforcement of the Bourgain-Kontorovich's theorem,0.0,1.0
Quantitative uniform distribution results for geometric progressions,0.0,1.0
On the compositum of all degree d extensions of a number field,0.0,1.0
s-Hankel hypermatrices and 2 x 2 determinantal ideals,1.0,0.0
Contre-exemples au principe de Hasse pour certains tores coflasques,1.0,1.0
A ratio of integration between quotients in geometric invariant theory,1.0,0.0
"Bloch's conjecture for Inoue surfaces with p_g=0, K^2 =7",1.0,0.0
"Les espaces de Berkovich sont mod\'er\'es, d'apr\`es E. Hrushovski et F.
  Loeser",1.0,0.0
The refined BPS index from stable pair invariants,1.0,0.0
Finite Weil restriction of curves,1.0,1.0
"Hasse principle for character group of finitely generated field over the
  rational number field",0.0,1.0
On the structure of the semigroup of entire \'etale mappings,1.0,0.0
Supercongruences and Complex Multiplication,0.0,1.0
The weight distributions of a class of cyclic codes III,0.0,1.0
The weight distributions of a class of cyclic codes II,0.0,1.0
Cohomology of locally-closed semi-algebraic subsets,1.0,1.0
Merging divisorial with colored fans,1.0,0.0
Rationality problem for algebraic tori,1.0,1.0
"Quantum McKay Correspondence and Equivariant Sheaves on the Quantum
  Projective Line",1.0,0.0
"Average Frobenius distribution for elliptic curves defined over finite
  Galois extensions of the rationals",0.0,1.0
Springer Isomorphisms In Characteristic $p$,1.0,0.0
A New Family of Surfaces with K^2=7 and p_g=0,1.0,0.0
"Homological techniques for the analysis of the dimension of triangular
  spline spaces",1.0,0.0
On the automorphism group of rational manifolds,1.0,0.0
"Cycle complex over the projective line minus three points : toward
  multiple zeta values cycles",1.0,1.0
Polynomial configurations in the primes,0.0,1.0
A computational approach to the discriminant of homogeneous polynomials,1.0,0.0
Period Computations for Covers of Elliptic Curves,1.0,1.0
On algebraic values of function exp (2ni x + log log y),0.0,1.0
Finite Morphisms between Projective Varieties and Skeleta,1.0,0.0
Subvarieties of moduli spaces of sheaves via finite coverings,1.0,0.0
On the converse theorem for Borcherds products,1.0,1.0
Splitting Varieties for Triple Massey Products,0.0,1.0
A Generic Polynomial for the Alternating Group $A_5$,0.0,1.0
The index of a threefold canonical singularity,1.0,0.0
"Toward the ergodicity of $p$-adic 1-Lipschitz functions represented by
  the van der Put series",0.0,1.0
On the moduli b-divisors of lc-trivial fibrations,1.0,0.0
Regular singular stratified bundles and tame ramification,1.0,0.0
"A construction of (t,s)-sequences with finite-row generating matrices
  using global function fields",0.0,1.0
"Elegant expressions and generic formulas for the Riemann zeta function
  for integer arguments",0.0,1.0
On a notion of speciality of linear systems in P^n,1.0,0.0
The Hasse principle for 9-nodal cubic threefolds,1.0,0.0
"Nekrasov's Partition Function and Refined Donaldson-Thomas Theory: the
  Rank One Case",1.0,0.0
Determining $x$ or $y$ mod $p^2$ with $p=x^2+dy^2$,0.0,1.0
Zero sets and factorization of polynomials of two variables,1.0,0.0
The complete solution to Bass Generalized Jacobian Conjecture,1.0,0.0
Boundary Components of Mumford-Tate Domains,1.0,0.0
"On the dimension of splines spaces over T-meshes with smoothing
  cofactor-conformality method",1.0,0.0
Sylvester versus Gundelfinger,1.0,0.0
Recursion Operators and Frobenius Manifolds,1.0,0.0
On Fujita's log spectrum conjecture,1.0,0.0
Evaluation of the period of a family of triangle and box ladder graphs,0.0,1.0
Generalization of Sabitov's Theorem to Polyhedra of Arbitrary Dimensions,1.0,0.0
Explicit Large Image Theorems for Modular Forms,0.0,1.0
Network Parameterizations for the Grassmannian,1.0,0.0
"On the Harder-Narasimhan filtration for finite dimensional
  representations of quivers",1.0,0.0
"Fundamental relations between the Dirichlet beta function, euler
  numbers, and Riemann zeta function for positive integers",0.0,1.0
Finiteness of algebraic fundamental groups,1.0,0.0
"Gauge Threshold Corrections for N = 2 Heterotic Local Models with Flux,
  and Mock Modular Forms",1.0,1.0
Convergence of Fubini-Study currents for orbifold line bundles,1.0,0.0
The circle method and non lacunarity of Modular Functions,0.0,1.0
Null curves and directed immersions of open Riemann surfaces,1.0,0.0
"Integral Transforms of the Harmonic Sawtooth Map, The Riemann Zeta
  Function, Fractal Strings, and a Finite Reflection Formula",0.0,1.0
Approximating curves on real rational surfaces,1.0,0.0
"Numerical dimension and a Kawamata-Viehweg-Nadel type vanishing theorem
  on compact K\""ahler manifolds",1.0,0.0
Norms as products of linear polynomials,1.0,1.0
"Kostant--Kumar polynomials and tangent cones to Schubert varieties for
  involutions in $A_n$, $F_4$ and $G_2$",1.0,0.0
"The Gorenstein conjecture fails for the tautological ring of
  $\mathcal{\bar M}_{2,n}$",1.0,0.0
Hasse principle for G-trace forms,0.0,1.0
Semipositivity theorems for moduli problems,1.0,0.0
"Torsion points on Jacobian varieties via Anderson's p-adic soliton
  theory",1.0,1.0
Factorization of polynomials in supertropical algebra,1.0,0.0
Foliations with vanishing Chern classes,1.0,0.0
"Criteria of measure-preserving for $p$-adic dynamical systems in terms
  of the van der Put basis",0.0,1.0
Counting lattice points and o-minimal structures,0.0,1.0
Congruence properties of induced representations and their applications,0.0,1.0
On Schubert decompositions of quiver Grassmannians,1.0,0.0
Numerical Analyses on Moduli Space of Vacua,1.0,0.0
"Chern Classes of Logarithmic Derivations for Free Divisors with Jacobian
  Ideal of Linear Type",1.0,0.0
The growth of the rank of Abelian varieties upon extensions,0.0,1.0
On the existence of ramified abelian covers,1.0,0.0
Determination of all rational preperiodic points for morphisms of PN,0.0,1.0
Singularities of varieties admitting an endomorphism,1.0,0.0
"A comparison theorem between Radon and Fourier-Laplace transforms for
  D-modules",1.0,0.0
"Compatibly split subvarieties of the Hilbert scheme of points in the
  plane",1.0,0.0
Stable pairs and the HOMFLY polynomial,1.0,0.0
Exponential sums and finite field $A$-hypergeometric functions,0.0,1.0
"Free resolutions of orbit closures for the representations associated to
  gradings on Lie algebras of type $E_6$, $F_4$ and $G_2$",1.0,0.0
Multiplicative Congruences with Variables from Short Intervals,0.0,1.0
Berkovich spaces embed in Euclidean spaces,1.0,1.0
Non-affine Landau-Ginzburg models and intersection cohomology,1.0,0.0
"A height inequality for rational points on elliptic curves implied by
  the abc-conjecture",0.0,1.0
On the class of caustics by reflection,1.0,0.0
"Effective divisors on the Hilbert scheme of points in the plane and
  interpolation for stable bundles",1.0,0.0
Arithmetic Progressions on Conic Sections,0.0,1.0
Bounds for the regularity of local cohomology of bigraded modules,1.0,0.0
"Divisors on graphs, Connected flags, and Syzygies",1.0,0.0
"A note on the canonical divisor of quasi-homogeneous affine algebraic
  varieties",1.0,0.0
"On the Tate and Langlands--Rapoport conjectures for special fibres of
  integral canonical models of Shimura varieties of abelian type",1.0,1.0
"Rationally isotropic exceptional projective homogeneous varieties are
  locally isotropic",1.0,0.0
"On the Distribution of Values and Zeros of Polynomial Systems over
  Arbitrary Sets",0.0,1.0
Rational curves and special metrics on twistor spaces,1.0,0.0
The Lambda-adic Shimura-Shintani-Waldspurger Correspondence,0.0,1.0
A new upper bound for $|\zeta(1+ it)|$,0.0,1.0
Stratifications associated to reductive group actions on affine spaces,1.0,0.0
Global mirror symmetry for invertible simple elliptic singularities,1.0,0.0
"Mordell-Weil ranks of families of elliptic curves associated to
  Pythagorean triples",1.0,1.0
Infinite transitivity on affine varieties,1.0,0.0
Highly biased prime number races,0.0,1.0
Topologies and structures of the Cremona groups,1.0,0.0
Derived Ramanujan Primes : R'_{n},0.0,1.0
"Approximation of Lyapunov exponents in non-archimedean and complex
  dynamics",0.0,1.0
"Rational pencils of cubics and configurations of six or seven points in
  $\mathbb{R}P^2$",1.0,0.0
An Application of Maeda's Conjecture to the Inverse Galois Problem,0.0,1.0
Infinitesimal deformations of rational surface automorphisms,1.0,0.0
From algebraic cobordism to motivic cohomology,1.0,0.0
"A Finite Reflection Formula For A Polynomial Approximation To The
  Riemann Zeta Function",0.0,1.0
On h-principle and specialness for complex projective manifolds,1.0,0.0
Estimates for the norms of products of sines and cosines,0.0,1.0
Around and beyond the canonical class,1.0,0.0
"Stability Conditions and Mirror Symmetry of K3 Surfaces in Attractor
  Backgrounds",1.0,0.0
"On the stratification by $X$-ranks of a linearly normal elliptic curve
  $X\subset \mathbb {P}^n$",1.0,0.0
The Work of John Tate,1.0,1.0
"Addendum to: Milne, Values of zeta functions of varieties over finite
  fields, Amer. J. Math. 108, (1986), 297-360",1.0,0.0
Kahler-Einstein metrics and stability,1.0,0.0
Relative compactified Jacobians of linear systems on Enriques surfaces,1.0,0.0
Foncteurs de Mackey \`a r\'eciprocit\'e,1.0,0.0
On Polynomial Pairs of Integers,0.0,1.0
On the first Gaussian map for Prym-canonical line bundles,1.0,0.0
"Group schemes and local densities of quadratic lattices in residue
  characteristic 2",1.0,1.0
"Evidence for a generalization of Gieseker's conjecture on stratified
  bundles in positive characteristic",1.0,0.0
Arithmetic positivity on toric varieties,1.0,1.0
Preperiodic points for families of rational map,0.0,1.0
"Rigorous quantum field theory functional integrals over the p-adics:
  research announcement",0.0,1.0
Halton-type sequences from global function fields,0.0,1.0
Pure resolutions of vector bundles on complex projective spaces,1.0,0.0
On the splitting of quasilinear $p$-forms,1.0,0.0
"A Bound on the Norm of Shortest Vectors in Lattices Arising from CM
  Number Fields",0.0,1.0
"An arithmetic intersection formula for denominators of Igusa class
  polynomials",0.0,1.0
A remark on braid group actions on coherent sheaves,1.0,0.0
A generalization of Dirichlet's unit theorem,0.0,1.0
"Equidistribution and the heights of totally real and totally p-adic
  numbers",0.0,1.0
On totally real numbers and equidistribution,0.0,1.0
On the heights of totally p-adic numbers,0.0,1.0
"Group schemes and local densities of ramified hermitian lattices in
  residue characteristic 2 Part I",1.0,1.0
"Relations among smooth integral models associated to quadratic,
  symplectic and hermitian lattices",1.0,1.0
On the Fourier coefficients of meromorphic Jacobi forms,0.0,1.0
Osculating Spaces of Varieties and Linear Network Codes,1.0,0.0
Tensor ranks on tangent developable of Segre varieties,1.0,0.0
Some restricted sum formulas for double zeta values,0.0,1.0
"A parameterized generalization of the sum formula for quadruple zeta
  values",0.0,1.0
Three-dimensional isolated quotient singularities in odd characteristic,1.0,0.0
A Fock space approach to Severi degrees,1.0,0.0
Locally convex structures on higher local fields,1.0,1.0
Value sets of polynomial maps over finite fields,0.0,1.0
Variations on a theme of Grothendieck,1.0,0.0
A comparison of different notions of ranks of symmetric tensors,1.0,0.0
Curvilinear schemes and maximum rank of forms,1.0,0.0
Congruent Numbers and Heegner Points,0.0,1.0
Counting points on hyperelliptic curves in average polynomial time,0.0,1.0
"Semistable Higgs bundles and representations of algebraic fundamental
  groups: Positive characteristic case",1.0,0.0
"On the equivariant Tamagawa number conjecture for Tate motives and
  unconditional annihilation results",0.0,1.0
"The number of singular vector tuples and uniqueness of best rank one
  approximation of tensors",1.0,0.0
Purity of G-zips,1.0,0.0
Generalised golden ratios over integer alphabets,0.0,1.0
Twisted Satake Category,1.0,0.0
Self-intersections of the Riemann zeta function on the critical line,0.0,1.0
"Application of a composition of generating functions for obtaining
  explicit formulas of polynomials",0.0,1.0
"An effective bound of $p$ for algebraic points on Shimura curves of
  $\Gamma_0(p)$-type",0.0,1.0
Lefschetz pencils on a certain hypersurface in positive characteristic,1.0,0.0
Geometric structure and the local Langlands conjecture,0.0,1.0
"Uncertainty principles connected with the M\""{o}bius inversion formula",0.0,1.0
Remarks about bubbles,1.0,0.0
Special curves and postcritically-finite polynomials,0.0,1.0
"s-Lecture Hall Partitions, Self-Reciprocal Polynomials, and Gorenstein
  Cones",0.0,1.0
Modules de cycles et classes non ramifi\'ees sur un espace classifiant,1.0,0.0
Grothendieck--Lefschetz type theorems for the local Picard group,1.0,0.0
Extending valuations to formal completions,1.0,0.0
"Strict supports of canonical measures and applications to the geometric
  Bogomolov conjecture",1.0,1.0
"Uniform bounds of base change conductors and link with the generalized
  Szpiro conjecture",1.0,0.0
"$p$-adic interpolation of square roots of central $L$-values of modular
  forms",0.0,1.0
On the Rasmussen-Tamagawa conjecture for QM-abelian surfaces,0.0,1.0
Multiplicity Estimates for Algebraically Dependent Analytic Functions,1.0,1.0
Mixed Hodge structures and Weierstrass $\sigma$-function,1.0,1.0
Some properties of symbol algebras of degree three,0.0,1.0
A dynamical system approach to the Kakutani-Fibonacci sequence,0.0,1.0
Multidimensional exponential divisor function over Gaussian integers,0.0,1.0
The Pillowcase Distribution and Near-Involutions,1.0,0.0
Surjective derivations in small dimensions,1.0,0.0
"Comparing arithmetic intersection formulas for denominators of Igusa
  class polynomials",0.0,1.0
Geometric class field theory with bounded ramification for surfaces,1.0,1.0
Closed H-orbits in G-varieties,1.0,0.0
Nonhomogeneous patterns on numerical semigroups,0.0,1.0
Heuristics of the Cocks-Pinch method,0.0,1.0
Bertini theorems for differential algebraic geometry,1.0,0.0
"Commuting differential operators and higher-dimensional algebraic
  varieties",1.0,0.0
Signature pairs of positive polynomials,1.0,0.0
Cartier's first theorem for Witt vectors on Z_{>= 0}^n - 0,0.0,1.0
Theta divisors of stable vector bundles may be nonreduced,1.0,0.0
"Brauer group and birational type of moduli spaces of torsionfree sheaves
  on a nodal curve",1.0,0.0
"Globally generated vector bundles of rank 2 on a smooth quadric
  threefold",1.0,0.0
Cubic symmetroids and vector bundles on a quadric surface,1.0,0.0
On the Geometry of Flat Pseudo-Riemannian Homogeneous Spaces,1.0,0.0
"On the computation of coefficients of modular forms: the reduction
  modulo p approach",0.0,1.0
Primitive Forms for Affine Cusp Polynomials,1.0,0.0
A Universal Formula for the j-Invariant of the Canonical Lifting,1.0,1.0
Combinatorial stratifications and minimality of 2-arrangements,1.0,0.0
"On the Jordan-H\""older property for geometric derived categories",1.0,0.0
"Extended q-Dedekind-type Daehee-Changhee sums associated with Extended
  q-Euler polynomials",0.0,1.0
A specialisation of the Bump-Friedberg $L$-function,0.0,1.0
Categorical Aspects in Pasch Geometry,1.0,0.0
On the geometry of spherical varieties,1.0,0.0
Quantum Groups and Quantum Cohomology,1.0,0.0
Pluricanonical maps of stable log surfaces,1.0,0.0
An explicit expression of the Luroth invariant,1.0,0.0
On the singularities of surfaces ruled by conics,1.0,0.0
"On pairs of p-adic analogues of the conjectures of Birch and
  Swinnerton-Dyer",0.0,1.0
"On the existence of large degree Galois representations for fields of
  small discriminant",0.0,1.0
Improved algorithms for splitting full matrix algebras,0.0,1.0
"Singular Homology of non-Archimedean Analytic Spaces and Integration
  along Cycles",1.0,1.0
"Explicit formulas using partitions of integers for numbers defined by
  recursion",0.0,1.0
"Semi-continuity of Complex Singularity Exponents in Singular Central
  Fiber Cases",1.0,0.0
Sch\'emas de Hilbert invariants et th\'eorie classique des invariants,1.0,0.0
"A formal approach ""\`a la Neukirch"" of $\ell$-adic class field theory",0.0,1.0
A functional relation for Tornheim's double zeta functions,0.0,1.0
The Dolbeault dga of the formal neighborhood of the diagonal,1.0,0.0
"Bounds on generators and relations for the algebra of $SL_2(\C)$
  conformal blocks",1.0,0.0
"Some identities for Bernoulli polynomials involving Chebyshev
  polynomials",0.0,1.0
Conjectures on representations involving primes,0.0,1.0
Geometric Whittaker models and Eisenstein series for Mp_2,1.0,0.0
Computing modular Galois representations,1.0,1.0
"Tensor products of tautological bundles under the
  Bridgeland-King-Reid-Haiman equivalence",1.0,0.0
Pairings on Generalized Huff Curves,0.0,1.0
Spectrum of hyperplane arrangements in four variables,1.0,0.0
Divisorial models of normal varieties,1.0,0.0
"An Alternative Proof and Generalization of Ferrero's Computations of
  Iwasawa \lambda-Invariants",0.0,1.0
"Toroidal compactifications of integral models of Shimura varieties of
  Hodge type",1.0,1.0
$\mathbb{A}^1_*$-fibrations on affine threefolds,1.0,0.0
Congruence relations for Shimura varieties associated to unitary groups,1.0,0.0
"The arithmetic Grothendieck-Riemann-Roch theorem for general projective
  morphisms",1.0,1.0
$LS$-successioni di punti nel quadrato,0.0,1.0
Representing and counting the subgroups of the group Z_m x Z_n,0.0,1.0
"A hybrid inequality of Erd\""os-Tur\'an-Koksma for digital sequences",0.0,1.0
Pro cdh-descent for cyclic homology and $K$-theory,1.0,0.0
On Waring's problem: two squares and three biquadrates,0.0,1.0
Homogenising differential operators,1.0,0.0
Coinvariants of Lie algebras of vector fields on algebraic varieties,1.0,0.0
Metric Heights on an Abelian Group,0.0,1.0
"Modular Subgroups, Dessins d'Enfants and Elliptic K3 Surfaces",1.0,0.0
On the Space of Conics on Complete Intersections,1.0,0.0
"Upper bounds for the dimension of moduli spaces of curves with symmetric
  Weierstrass semigroups",1.0,0.0
A Golden Product Identity for $e$,0.0,1.0
On the symplectic invariance of log Kodaira dimension,1.0,0.0
"Deformation of K\""ahler manifolds",1.0,0.0
Integer properties of a composition of exponential generating functions,0.0,1.0
"Superabundant numbers, their subsequences and the Riemann hypothesis",0.0,1.0
"The mirror symmetry of K3 surfaces with non-symplectic automorphisms of
  prime order",1.0,0.0
"The Twisted Second Moment of the Dedekind Zeta Function of a Quadratic
  Field",0.0,1.0
"Torsion of rational elliptic curves over cubic fields and sporadic
  points on $X_1(n)$",0.0,1.0
"Rank-level duality of Conformal Blocks for odd orthogonal Lie algebras
  in genus 0",1.0,0.0
Seiberg-Witten geometry of four dimensional N=2 quiver gauge theories,1.0,0.0
Counting Integral Points in Certain Homogeneous Spaces,0.0,1.0
Global resolution of singularities in $1$-dimensional foliated spaces,1.0,0.0
On the limit of spectral measures associated to a test configuration,1.0,0.0
"A note on the q-Dedekind-type Daehee-Changhee sums with weight alpha
  arising from modified q-Genocchi polynomials with weight alpha",0.0,1.0
Tropical Hurwitz Spaces,1.0,0.0
New examples of Calabi-Yau threefolds and genus zero surfaces,1.0,0.0
"D-brane probes, branched double covers, and noncommutative resolutions",1.0,0.0
"Euler characteristics of universal cotangent line bundles on
  $\mbar_{1,n}$",1.0,0.0
Bounds For The Tail Distribution Of The Sum Of Digits Of Prime Numbers,0.0,1.0
Non-degeneracy of the discriminant,1.0,0.0
A generalization of the Castelnuovo-de Franchis inequality,1.0,0.0
"Hurwitzian continued fractions containing a repeated constant and an
  arithmetic progression",0.0,1.0
"A note on normal triple covers over $\mathbb{P}^2$ with branch divisors
  of degree 6",1.0,0.0
On weighted inhomogeneous Diophantine approximation on planar curves,0.0,1.0
"Ehrhart theory of polytopes and Seiberg-Witten invariants of plumbed
  3-manifolds",1.0,0.0
"On higher rank globally generated vector bundles over a smooth quadric
  threefold",1.0,0.0
Quadratic fields with cyclic 2-class groups,0.0,1.0
Equivalence relations on separated nets arising from linear toral flows,0.0,1.0
"The Large Davenport Constant I: Groups with a Cyclic, Index 2 Subgroup",0.0,1.0
The Large Davenport Constant II: General Upper Bounds,0.0,1.0
"Singularity categories, preprojective algebras and orthogonal
  decompositions",1.0,0.0
Remarks On the Topology of the Fano surface,1.0,0.0
"A proof of the Grothendieck-Serre conjecture on principal bundles over
  regular local rings containing infinite fields",1.0,0.0
A combinatorial Li-Yau inequality and rational points on curves,1.0,1.0
Counting nonsingular matrices with primitive row vectors,0.0,1.0
Limits of tropicalizations,1.0,0.0
On sums of homogeneous locally nilpotent derivations,1.0,0.0
Sharp slope bounds for sweeping families of trigonal curves,1.0,0.0
A fast flatness testing algorithm in characteristic zero,1.0,0.0
"Tropical Incidence Relations, Polytopes, and Concordant Matroids",1.0,0.0
Stable bundles as Frobenius morphism direct image,1.0,0.0
"Expanding polynomials over finite fields of large characteristic, and a
  regularity lemma for definable sets",1.0,0.0
On the degenerations of solvable Leibniz algebras,1.0,0.0
$LS$-sequences of points in the unit square,0.0,1.0
On zeros of self-reciprocal polynomials,0.0,1.0
The Eichler cohomology theorem for Jacobi forms,0.0,1.0
Harmonic Maps and Integrable Systems,1.0,0.0
"Primitive divisors of Lucas and Lehmer sequences, II",0.0,1.0
"Primitive divisors of Lucas and Lehmer sequences, III",0.0,1.0
An effective lower bound for the height of algebraic numbers,0.0,1.0
Non-asymptotic Upper Bounds for Deletion Correcting Codes,0.0,1.0
A characterization of two-weight projective cyclic codes,0.0,1.0
Maximum Likelihood Duality for Determinantal Varieties,1.0,0.0
"Commutative S-algebras of prime characteristics and applications to
  unoriented bordism",0.0,1.0
Ergodicity of the action of K* on A_K,0.0,1.0
Symmetries and stabilization for sheaves of vanishing cycles,1.0,0.0
Integer Points in Knapsack Polytopes and s-covering Radius,0.0,1.0
An inverse theorem for Gowers norms of trace functions over prime fields,0.0,1.0
Automorphisms of the Quot schemes associated to compact Riemann surfaces,1.0,0.0
Combinatorics of the basic stratum,0.0,1.0
Maximal sets with no solution to x+y=3z,0.0,1.0
"Regular filtered (phi,N)-modules of dimension 3",0.0,1.0
A prime number theorem for the majority function,0.0,1.0
Twisted gamma filtration and algebras with orthogonal involution,1.0,0.0
"Tensor Rank, Invariants, Inequalities, and Applications",1.0,0.0
On the uniform distribution modulo 1 of multidimensional LS-sequences,0.0,1.0
"On the existence of hyperplane sequences, with quality parameter and
  discrepancy bounds",0.0,1.0
Explicit Demazure character formula for negative dominant characters,1.0,0.0
Jordan property for Cremona groups,1.0,0.0
Computation of Galois groups of rational polynomials,0.0,1.0
Solutions of the cubic Fermat equation in quadratic fields,0.0,1.0
"Maximal families of Calabi-Yau manifolds with minimal length Yukawa
  coupling",1.0,0.0
Diophantine property in the group of affine transformations of the line,0.0,1.0
"Adjunction for the Grauert-Riemenschneider canonical sheaf and extension
  of L2-cohomology classes",1.0,0.0
The Whittaker-Shintani functions for symplectic groups,0.0,1.0
Ind-abelian categories and quasi-coherent sheaves,1.0,0.0
The McKay-Thompson series of Mathieu Moonshine modulo two,0.0,1.0
Solving a sparse systems using linear algebra,1.0,0.0
Some identities of polynomials arising from umbral calculus,0.0,1.0
"Some identities of higher-order Euler polynomials arising from Euler
  basis",0.0,1.0
Hodge theory and derived categories of cubic fourfolds,1.0,0.0
Cohomology jump loci of quasi-projective varieties,1.0,0.0
Le syst\`eme d'Euler de Kato,0.0,1.0
Rigidity theorem for presheaves with \Omega-transfers,1.0,0.0
$P$-alcoves and nonemptiness of affine Deligne-Lusztig varieties,1.0,0.0
Injectivity of the specialization homomorphism of elliptic curves,1.0,1.0
Computation of Framed Deformation Functors,0.0,1.0
"Pl\:ucker relations and spherical varieties: application to model
  varieties",1.0,0.0
A note on p-adic solubility for forms in many variables,0.0,1.0
The ring of evenly weighted points on the line,1.0,0.0
"Some fourth order CY-type operators with non symplectically rigid
  monodromy",1.0,0.0
"How to compute the constant term of a power of a Laurent polynomial
  efficiently",1.0,0.0
"Rank 3 filtered $(\varphi,N)$-modules",0.0,1.0
Sheaves that fail to represent matrix rings,1.0,0.0
